"","FID","WNS_MAP_YR","WNS_STATUS","YR_SUSPECT","YR_CONFIRM","SAMPLEDATE","STATEPROV","COUNTYNAME","FIPS","COUNTRY","suspect1","suspect2","confirm1","confirm2","smooth","county","date","year","rownumber","GC","Title","lon","lat","Date","Type","User","Log","title","url","country","numfinds","numpage","wns.map.yr","r.suspect","yr.confirm"
"205",91,"2008-09","Confirmed"," ","2008-09"," ","New Jersey","Morris","34027","United States",-27107481600000,-27107481600000,1.230768e+12,4070908800000,9,"Morris-New Jersey",2008-01-01,2008,92,"GC17GHT","Abandon Pardee Iron Mine",41.00238,-74.4845,2008-01-26,"Type.found_it","Archerino","<p>A nice trio of caches. This one was different but attainable.<br />
I followed macatac1961's tracks to leave. Shoulda come in that way. A good hunt. T4TC TQ.</p>","Abandon Pardee Iron Mine","https://www.geocaching.com/geocache/GC17GHT_abandon-pardee-iron-mine","United States",36,2,2008-01-01,NA,2008-01-01
"206",91,"2008-09","Confirmed"," ","2008-09"," ","New Jersey","Morris","34027","United States",-27107481600000,-27107481600000,1.230768e+12,4070908800000,9,"Morris-New Jersey",2008-01-01,2008,92,"GC17GHT","Abandon Pardee Iron Mine",41.00238,-74.4845,2008-01-26,"Type.found_it","macatac1961","<p>I followed that woods road in and it seemed to be going past the caches but then cooperated nicely and turned to point me right at this one.  Very cool area.  Found the cache with no problem and swapped travelers.  Thanks for a fun hunt.  </p>","Abandon Pardee Iron Mine","https://www.geocaching.com/geocache/GC17GHT_abandon-pardee-iron-mine","United States",36,2,2008-01-01,NA,2008-01-01
"207",91,"2008-09","Confirmed"," ","2008-09"," ","New Jersey","Morris","34027","United States",-27107481600000,-27107481600000,1.230768e+12,4070908800000,9,"Morris-New Jersey",2008-01-01,2008,92,"GC17GHT","Abandon Pardee Iron Mine",41.00238,-74.4845,2008-01-12,"Type.found_it","appledon","<p>I found this one while caching with two daughters, two sons-in-law, two grandsons and their two dogs. Thanks for the nice hide. </p>","Abandon Pardee Iron Mine","https://www.geocaching.com/geocache/GC17GHT_abandon-pardee-iron-mine","United States",36,2,2008-01-01,NA,2008-01-01
"208",91,"2008-09","Confirmed"," ","2008-09"," ","New Jersey","Morris","34027","United States",-27107481600000,-27107481600000,1.230768e+12,4070908800000,9,"Morris-New Jersey",2008-01-01,2008,92,"GC17GHT","Abandon Pardee Iron Mine",41.00238,-74.4845,2008-01-12,"Type.found_it","GCNJ","<p>Nice hike/hide found with Julie, Jake the dog and team appledon. Dropped a TB and traded geocoins, Thanks</p>","Abandon Pardee Iron Mine","https://www.geocaching.com/geocache/GC17GHT_abandon-pardee-iron-mine","United States",36,2,2008-01-01,NA,2008-01-01
"209",91,"2008-09","Confirmed"," ","2008-09"," ","New Jersey","Morris","34027","United States",-27107481600000,-27107481600000,1.230768e+12,4070908800000,9,"Morris-New Jersey",2008-01-01,2008,92,"GC17GHT","Abandon Pardee Iron Mine",41.00238,-74.4845,2008-01-06,"Type.found_it","DASE","<p>First cache of the day and what a great spot for a cache.  This was the first time in a long time that my son wanted to go geocaching so I figured I would take him to a place with lots of fun things to explore.  He had a blast around the cache area.  The little guy didn't accompany dad going down for the retrieval but watched from the top and laughed and laughed and laughed as I tried to get back out climbing up the ice and wet leaves.  He grabbed a few things and I left a few things and we continued on.</p>","Abandon Pardee Iron Mine","https://www.geocaching.com/geocache/GC17GHT_abandon-pardee-iron-mine","United States",36,2,2008-01-01,NA,2008-01-01
"210",92,"2014-15","Confirmed"," ","2014-15"," ","Iowa","Des Moines","19057","United States",-27107481600000,-27107481600000,1420070400000,4070908800000,15,"Des Moines-Iowa",2014-01-01,2014,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-01-01,NA,2014-01-01
"211",93,"2016-17","Confirmed","2014-15","2016-17","1/23/2017","Nebraska","Cass","31025","United States",1420070400000,1451606400000,1483228800000,4070908800000,17,"Cass-Nebraska",2016-01-01,2016,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-01-01,2014-01-01,2016-01-01
"212",94,"2012-13","Confirmed"," ","2012-13"," ","Ohio","Ashland","39005","United States",-27107481600000,-27107481600000,1356998400000,4070908800000,13,"Ashland-Ohio",2012-01-01,2012,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-01-01,NA,2012-01-01
"213",95,"2012-13","Confirmed"," ","2012-13"," ","Ohio","Wayne","39169","United States",-27107481600000,-27107481600000,1356998400000,4070908800000,13,"Wayne-Ohio",2012-01-01,2012,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-01-01,NA,2012-01-01
"214",96,"2009-10","Suspect","2009-10"," "," ","Pennsylvania","Schuylkill","42107","United States",1.262304e+12,4070908800000,-27107481600000,-27107481600000,10,"Schuylkill-Pennsylvania",2009-01-01,2009,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009-01-01,2009-01-01,NA
"215",97,"2014-15","Confirmed"," ","2014-15"," ","Iowa","Van Buren","19177","United States",-27107481600000,-27107481600000,1420070400000,4070908800000,15,"Van Buren-Iowa",2014-01-01,2014,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-01-01,NA,2014-01-01
"216",98,"2011-12","Confirmed"," ","2011-12"," ","Pennsylvania","Beaver","42007","United States",-27107481600000,-27107481600000,1.325376e+12,4070908800000,12,"Beaver-Pennsylvania",2011-01-01,2011,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-01-01,NA,2011-01-01
"217",99,"2008-09","Confirmed"," ","2008-09"," ","Pennsylvania","Mifflin","42087","United States",-27107481600000,-27107481600000,1.230768e+12,4070908800000,9,"Mifflin-Pennsylvania",2008-01-01,2008,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008-01-01,NA,2008-01-01
"218",100,"2010-11","Suspect","2010-11"," "," ","New York","Suffolk","36103","United States",1.29384e+12,4070908800000,-27107481600000,-27107481600000,11,"Suffolk-New York",2010-01-01,2010,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-01-01,2010-01-01,NA
"219",101,"2009-10","Confirmed"," ","2009-10"," ","Pennsylvania","Blair","42013","United States",-27107481600000,-27107481600000,1.262304e+12,4070908800000,10,"Blair-Pennsylvania",2009-01-01,2009,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009-01-01,NA,2009-01-01
"220",102,"2009-10","Confirmed"," ","2009-10"," ","Pennsylvania","Huntingdon","42061","United States",-27107481600000,-27107481600000,1.262304e+12,4070908800000,10,"Huntingdon-Pennsylvania",2009-01-01,2009,103,"GC1FNQ9","CAVE - Whisper Rocks",40.50825,-78.07158,2009-08-16,"Type.found_it","browneyedgirl789","<p>Did this tour on a muggy, Sunday afternoon.  Really felt good in the cave and enjoyed the spectacular views!  Thanks for bringing me here again!  Will post picture and send email.  #196</p>","CAVE - Whisper Rocks","https://www.geocaching.com/geocache/GC1FNQ9_cave-whisper-rocks","United States",81,4,2009-01-01,NA,2009-01-01
"221",102,"2009-10","Confirmed"," ","2009-10"," ","Pennsylvania","Huntingdon","42061","United States",-27107481600000,-27107481600000,1.262304e+12,4070908800000,10,"Huntingdon-Pennsylvania",2009-01-01,2009,103,"GC1FNQ9","CAVE - Whisper Rocks",40.50825,-78.07158,2009-07-07,"Type.found_it","WV Muddy Boots","<p>Found this with the CacheDetectives.  TFTC!</p>","CAVE - Whisper Rocks","https://www.geocaching.com/geocache/GC1FNQ9_cave-whisper-rocks","United States",81,4,2009-01-01,NA,2009-01-01
"222",102,"2009-10","Confirmed"," ","2009-10"," ","Pennsylvania","Huntingdon","42061","United States",-27107481600000,-27107481600000,1.262304e+12,4070908800000,10,"Huntingdon-Pennsylvania",2009-01-01,2009,103,"GC1FNQ9","CAVE - Whisper Rocks",40.50825,-78.07158,2009-07-07,"Type.found_it","CacheDetectives","<p>We enjoyed the second part of the Lincoln Caverns/Whisper Rocks tour and then the climb to the sink hole.  Of course, the kids couldn't resist panning for gems on the way out.  TFTC!</p>","CAVE - Whisper Rocks","https://www.geocaching.com/geocache/GC1FNQ9_cave-whisper-rocks","United States",81,4,2009-01-01,NA,2009-01-01
"223",102,"2009-10","Confirmed"," ","2009-10"," ","Pennsylvania","Huntingdon","42061","United States",-27107481600000,-27107481600000,1.262304e+12,4070908800000,10,"Huntingdon-Pennsylvania",2009-01-01,2009,103,"GC1FNQ9","CAVE - Whisper Rocks",40.50825,-78.07158,2009-04-25,"Type.found_it","cookie+3","<p>We enjoy this earthcache and hope to do more in this area.</p>
<p>Picture to follow</p>","CAVE - Whisper Rocks","https://www.geocaching.com/geocache/GC1FNQ9_cave-whisper-rocks","United States",81,4,2009-01-01,NA,2009-01-01
"224",102,"2009-10","Confirmed"," ","2009-10"," ","Pennsylvania","Huntingdon","42061","United States",-27107481600000,-27107481600000,1.262304e+12,4070908800000,10,"Huntingdon-Pennsylvania",2009-01-01,2009,103,"GC1FNPT","CAVE - Lincoln Caverns",40.50787,-78.07217,2009-08-16,"Type.found_it","browneyedgirl789","<p>Even though I have been here before, I decided to this as an earthcache.  I am so glad I did as I really enjoyed it!  Photos cannot even begin to capture the graduer of these spectacular caves!  Will post picture and send email with answers.  Thank you for bringing me here again!  #195</p>","CAVE - Lincoln Caverns","https://www.geocaching.com/geocache/GC1FNPT_cave-lincoln-caverns","United States",86,4,2009-01-01,NA,2009-01-01
"225",102,"2009-10","Confirmed"," ","2009-10"," ","Pennsylvania","Huntingdon","42061","United States",-27107481600000,-27107481600000,1.262304e+12,4070908800000,10,"Huntingdon-Pennsylvania",2009-01-01,2009,103,"GC1FNPT","CAVE - Lincoln Caverns",40.50787,-78.07217,2009-07-07,"Type.found_it","WV Muddy Boots","<p>Found this with the CacheDetectives.  TFTC!</p>","CAVE - Lincoln Caverns","https://www.geocaching.com/geocache/GC1FNPT_cave-lincoln-caverns","United States",86,4,2009-01-01,NA,2009-01-01
"226",102,"2009-10","Confirmed"," ","2009-10"," ","Pennsylvania","Huntingdon","42061","United States",-27107481600000,-27107481600000,1.262304e+12,4070908800000,10,"Huntingdon-Pennsylvania",2009-01-01,2009,103,"GC1FNPT","CAVE - Lincoln Caverns",40.50787,-78.07217,2009-07-07,"Type.found_it","CacheDetectives","<p>We had a great tour of the Caverns today.  I hadn't visited a cavern since I was around 10 years old and it took me 30 years to get over it.  I just couldn't get used to being underground.  With WV Muddy Boots encouragement, I summoned the courage to take the kids.  They really enjoyed it and we learned a lot.  Thank you for all of the work that went into creating this earthcache.</p>","CAVE - Lincoln Caverns","https://www.geocaching.com/geocache/GC1FNPT_cave-lincoln-caverns","United States",86,4,2009-01-01,NA,2009-01-01
"227",102,"2009-10","Confirmed"," ","2009-10"," ","Pennsylvania","Huntingdon","42061","United States",-27107481600000,-27107481600000,1.262304e+12,4070908800000,10,"Huntingdon-Pennsylvania",2009-01-01,2009,103,"GC1FNPT","CAVE - Lincoln Caverns",40.50787,-78.07217,2009-04-25,"Type.found_it","cookie+3","<p>Loved this earthcache.<br />
Picture to follow</p>","CAVE - Lincoln Caverns","https://www.geocaching.com/geocache/GC1FNPT_cave-lincoln-caverns","United States",86,4,2009-01-01,NA,2009-01-01
"228",102,"2009-10","Confirmed"," ","2009-10"," ","Pennsylvania","Huntingdon","42061","United States",-27107481600000,-27107481600000,1.262304e+12,4070908800000,10,"Huntingdon-Pennsylvania",2009-01-01,2009,103,"GC17864","Ice Mine",40.33193,-78.12342,2009-11-29,"Type.found_it","WV Muddy Boots","<p>Found with the CacheDetectives.  TFTC!</p>","Ice Mine","https://www.geocaching.com/geocache/GC17864_ice-mine","United States",259,11,2009-01-01,NA,2009-01-01
"229",102,"2009-10","Confirmed"," ","2009-10"," ","Pennsylvania","Huntingdon","42061","United States",-27107481600000,-27107481600000,1.262304e+12,4070908800000,10,"Huntingdon-Pennsylvania",2009-01-01,2009,103,"GC17864","Ice Mine",40.33193,-78.12342,2009-11-29,"Type.found_it","CacheDetectives","<p>While we were at this cache, a man with two grown sons walked up and asked if we were geocaching.  I said yes and explained what an earthcache.  He said he had taken his boys to an archery competition with ~3000 competitors and these two girls were walking through the archery range.  When he pulled them over to get them out of harm's way, they told him they were geocaching.  I just laughed, because sometimes I can be just as focused on that GPS screen that I almost walk into trees and other hard objects.  I just loved when we shown the flashlight into the ice mine because it looked like little diamonds glistening.  What fun!  TFTC!</p>","Ice Mine","https://www.geocaching.com/geocache/GC17864_ice-mine","United States",259,11,2009-01-01,NA,2009-01-01
"230",102,"2009-10","Confirmed"," ","2009-10"," ","Pennsylvania","Huntingdon","42061","United States",-27107481600000,-27107481600000,1.262304e+12,4070908800000,10,"Huntingdon-Pennsylvania",2009-01-01,2009,103,"GC17864","Ice Mine",40.33193,-78.12342,2009-11-14,"Type.found_it","Team59ers","<p>TFTC</p>","Ice Mine","https://www.geocaching.com/geocache/GC17864_ice-mine","United States",259,11,2009-01-01,NA,2009-01-01
"231",102,"2009-10","Confirmed"," ","2009-10"," ","Pennsylvania","Huntingdon","42061","United States",-27107481600000,-27107481600000,1.262304e+12,4070908800000,10,"Huntingdon-Pennsylvania",2009-01-01,2009,103,"GC17864","Ice Mine",40.33193,-78.12342,2009-11-14,"Type.found_it","biker1959","<p>Thanks for the Cache</p>","Ice Mine","https://www.geocaching.com/geocache/GC17864_ice-mine","United States",259,11,2009-01-01,NA,2009-01-01
"232",102,"2009-10","Confirmed"," ","2009-10"," ","Pennsylvania","Huntingdon","42061","United States",-27107481600000,-27107481600000,1.262304e+12,4070908800000,10,"Huntingdon-Pennsylvania",2009-01-01,2009,103,"GC17864","Ice Mine",40.33193,-78.12342,2009-11-07,"Type.found_it","2uni2not","<p>TFTC</p>","Ice Mine","https://www.geocaching.com/geocache/GC17864_ice-mine","United States",259,11,2009-01-01,NA,2009-01-01
"233",102,"2009-10","Confirmed"," ","2009-10"," ","Pennsylvania","Huntingdon","42061","United States",-27107481600000,-27107481600000,1.262304e+12,4070908800000,10,"Huntingdon-Pennsylvania",2009-01-01,2009,103,"GC17864","Ice Mine",40.33193,-78.12342,2009-11-01,"Type.found_it","wingnrway","<p>Been here many times. </p>","Ice Mine","https://www.geocaching.com/geocache/GC17864_ice-mine","United States",259,11,2009-01-01,NA,2009-01-01
"234",102,"2009-10","Confirmed"," ","2009-10"," ","Pennsylvania","Huntingdon","42061","United States",-27107481600000,-27107481600000,1.262304e+12,4070908800000,10,"Huntingdon-Pennsylvania",2009-01-01,2009,103,"GC17864","Ice Mine",40.33193,-78.12342,2009-10-26,"Type.found_it","GeoZiggY","<p>I was fortunate to have the day off with good weather, a beautiful day in Pennsylvania. I returned to the Raystown area for a little kayaking, trail walking and a few GeoCaches.  Thanx for the nice cache.  GeoZiggY =OP</p>","Ice Mine","https://www.geocaching.com/geocache/GC17864_ice-mine","United States",259,11,2009-01-01,NA,2009-01-01
"235",102,"2009-10","Confirmed"," ","2009-10"," ","Pennsylvania","Huntingdon","42061","United States",-27107481600000,-27107481600000,1.262304e+12,4070908800000,10,"Huntingdon-Pennsylvania",2009-01-01,2009,103,"GC17864","Ice Mine",40.33193,-78.12342,2009-09-16,"Type.found_it","GeoRVing","<p>TFTC</p>","Ice Mine","https://www.geocaching.com/geocache/GC17864_ice-mine","United States",259,11,2009-01-01,NA,2009-01-01
"236",102,"2009-10","Confirmed"," ","2009-10"," ","Pennsylvania","Huntingdon","42061","United States",-27107481600000,-27107481600000,1.262304e+12,4070908800000,10,"Huntingdon-Pennsylvania",2009-01-01,2009,103,"GC17864","Ice Mine",40.33193,-78.12342,2009-09-13,"Type.found_it","dharma","<p>TFTC, it is a wonderful area with lots of great hiking and i really liked the dam</p>","Ice Mine","https://www.geocaching.com/geocache/GC17864_ice-mine","United States",259,11,2009-01-01,NA,2009-01-01
"237",102,"2009-10","Confirmed"," ","2009-10"," ","Pennsylvania","Huntingdon","42061","United States",-27107481600000,-27107481600000,1.262304e+12,4070908800000,10,"Huntingdon-Pennsylvania",2009-01-01,2009,103,"GC17864","Ice Mine",40.33193,-78.12342,2009-09-13,"Type.found_it","2swampsters","<p>Been here before, just didn't know about geocaching then ;) TFTC!</p>","Ice Mine","https://www.geocaching.com/geocache/GC17864_ice-mine","United States",259,11,2009-01-01,NA,2009-01-01
"238",102,"2009-10","Confirmed"," ","2009-10"," ","Pennsylvania","Huntingdon","42061","United States",-27107481600000,-27107481600000,1.262304e+12,4070908800000,10,"Huntingdon-Pennsylvania",2009-01-01,2009,103,"GC17864","Ice Mine",40.33193,-78.12342,2009-09-08,"Type.found_it","Happynappies","<p>TFTC..We found this cache with FORRESTAL. What a interesting place to visit, especially on a hot day....</p>","Ice Mine","https://www.geocaching.com/geocache/GC17864_ice-mine","United States",259,11,2009-01-01,NA,2009-01-01
"239",102,"2009-10","Confirmed"," ","2009-10"," ","Pennsylvania","Huntingdon","42061","United States",-27107481600000,-27107481600000,1.262304e+12,4070908800000,10,"Huntingdon-Pennsylvania",2009-01-01,2009,103,"GC17864","Ice Mine",40.33193,-78.12342,2009-09-06,"Type.found_it","forrestal","<p>Found with Happy Nappies</p>","Ice Mine","https://www.geocaching.com/geocache/GC17864_ice-mine","United States",259,11,2009-01-01,NA,2009-01-01
"240",102,"2009-10","Confirmed"," ","2009-10"," ","Pennsylvania","Huntingdon","42061","United States",-27107481600000,-27107481600000,1.262304e+12,4070908800000,10,"Huntingdon-Pennsylvania",2009-01-01,2009,103,"GC17864","Ice Mine",40.33193,-78.12342,2009-08-21,"Type.found_it","the strotskis","<p>This place is SO cool!!!! Or should I say.....cold! My husband absolutely loved it. We had to come back the next day so he could cool off again. TFTC!</p>","Ice Mine","https://www.geocaching.com/geocache/GC17864_ice-mine","United States",259,11,2009-01-01,NA,2009-01-01
"241",102,"2009-10","Confirmed"," ","2009-10"," ","Pennsylvania","Huntingdon","42061","United States",-27107481600000,-27107481600000,1.262304e+12,4070908800000,10,"Huntingdon-Pennsylvania",2009-01-01,2009,103,"GC17864","Ice Mine",40.33193,-78.12342,2009-08-09,"Type.found_it","whateverearl","<p>Thanks <br />
just wondering-how many pictures you get that are fogged?<br />
didn't know which was worse-camera or glasses!</p>","Ice Mine","https://www.geocaching.com/geocache/GC17864_ice-mine","United States",259,11,2009-01-01,NA,2009-01-01
"242",102,"2009-10","Confirmed"," ","2009-10"," ","Pennsylvania","Huntingdon","42061","United States",-27107481600000,-27107481600000,1.262304e+12,4070908800000,10,"Huntingdon-Pennsylvania",2009-01-01,2009,103,"GC17864","Ice Mine",40.33193,-78.12342,2009-08-06,"Type.found_it","BVnLJ","<p>Found it  : )<br />
Felt so nice and cool to stand there by the cave entrance on  a hot humid summer day.<br />
TFTC</p>
<p>****sorry the picture attached is not of one of us or even our gps, we were messing around getting pictures of a snowman head we have &quot;kidnapped&quot; from from my niece so we can send a &quot;ransom&quot; note to her that we forgot to take the picture you wanted.  hope this is ok  : /  *****</p>
<p>email on the way with the answers to your questions</p>","Ice Mine","https://www.geocaching.com/geocache/GC17864_ice-mine","United States",259,11,2009-01-01,NA,2009-01-01
"243",102,"2009-10","Confirmed"," ","2009-10"," ","Pennsylvania","Huntingdon","42061","United States",-27107481600000,-27107481600000,1.262304e+12,4070908800000,10,"Huntingdon-Pennsylvania",2009-01-01,2009,103,"GC17864","Ice Mine",40.33193,-78.12342,2009-08-01,"Type.found_it","rabjack","<p>Cool place...or should I say Cold place...Brr. Feels great after a day of hiking and caching. 7th and final one of the day. My nephew wore me out on this day of caching. Enjoyed every second of it. Time now to go home, relax and log some cache finds.<br />
TFTC</p>","Ice Mine","https://www.geocaching.com/geocache/GC17864_ice-mine","United States",259,11,2009-01-01,NA,2009-01-01
"244",102,"2009-10","Confirmed"," ","2009-10"," ","Pennsylvania","Huntingdon","42061","United States",-27107481600000,-27107481600000,1.262304e+12,4070908800000,10,"Huntingdon-Pennsylvania",2009-01-01,2009,103,"GC17864","Ice Mine",40.33193,-78.12342,2009-07-19,"Type.found_it","Mouseclicks","<p>#48 - <br />
Went to the Trough Creek geocaching event today.  First earthcache of the day.  Very interesting.  I was really looking forward to this cache to see the difference in temperatures.  Thanks.</p>","Ice Mine","https://www.geocaching.com/geocache/GC17864_ice-mine","United States",259,11,2009-01-01,NA,2009-01-01
"245",102,"2009-10","Confirmed"," ","2009-10"," ","Pennsylvania","Huntingdon","42061","United States",-27107481600000,-27107481600000,1.262304e+12,4070908800000,10,"Huntingdon-Pennsylvania",2009-01-01,2009,103,"GC17864","Ice Mine",40.33193,-78.12342,2009-07-18,"Type.found_it","LT Silverfox","<p>Found it with others at the event . Will send answers &amp; pictures when i learn how.</p>","Ice Mine","https://www.geocaching.com/geocache/GC17864_ice-mine","United States",259,11,2009-01-01,NA,2009-01-01
"246",102,"2009-10","Confirmed"," ","2009-10"," ","Pennsylvania","Huntingdon","42061","United States",-27107481600000,-27107481600000,1.262304e+12,4070908800000,10,"Huntingdon-Pennsylvania",2009-01-01,2009,103,"GC17864","Ice Mine",40.33193,-78.12342,2009-07-18,"Type.found_it","BAD family","<p>very nice spot nice and cool on a hot day the kids and i both enjoyed it </p>","Ice Mine","https://www.geocaching.com/geocache/GC17864_ice-mine","United States",259,11,2009-01-01,NA,2009-01-01
"247",102,"2009-10","Confirmed"," ","2009-10"," ","Pennsylvania","Huntingdon","42061","United States",-27107481600000,-27107481600000,1.262304e+12,4070908800000,10,"Huntingdon-Pennsylvania",2009-01-01,2009,103,"GC17864","Ice Mine",40.33193,-78.12342,2009-07-18,"Type.found_it","froggie85","<p>Found it with jocko85 while at the Trough Creek event.  This is such a nice park.  Wish we could have camped for the weekend.   TFTC</p>","Ice Mine","https://www.geocaching.com/geocache/GC17864_ice-mine","United States",259,11,2009-01-01,NA,2009-01-01
"248",102,"2009-10","Confirmed"," ","2009-10"," ","Pennsylvania","Huntingdon","42061","United States",-27107481600000,-27107481600000,1.262304e+12,4070908800000,10,"Huntingdon-Pennsylvania",2009-01-01,2009,103,"GC17864","Ice Mine",40.33193,-78.12342,2009-07-18,"Type.found_it","jocko85","<p>Found it with froggie85 while at the Trough Creek event today.  These are our first earth caches.   TFTC</p>","Ice Mine","https://www.geocaching.com/geocache/GC17864_ice-mine","United States",259,11,2009-01-01,NA,2009-01-01
"249",102,"2009-10","Confirmed"," ","2009-10"," ","Pennsylvania","Huntingdon","42061","United States",-27107481600000,-27107481600000,1.262304e+12,4070908800000,10,"Huntingdon-Pennsylvania",2009-01-01,2009,103,"GC17864","Ice Mine",40.33193,-78.12342,2009-07-18,"Type.found_it","cookie+3","<p>Found this during the event. Emailed answers and will post picture soon.<br />
TFTC</p>","Ice Mine","https://www.geocaching.com/geocache/GC17864_ice-mine","United States",259,11,2009-01-01,NA,2009-01-01
"250",102,"2009-10","Confirmed"," ","2009-10"," ","Pennsylvania","Huntingdon","42061","United States",-27107481600000,-27107481600000,1.262304e+12,4070908800000,10,"Huntingdon-Pennsylvania",2009-01-01,2009,103,"GC17864","Ice Mine",40.33193,-78.12342,2009-07-18,"Type.found_it","ChiBec","<p>#40  We were in the park for the Great Trough Creek event and nabbed this one.  We have been to Raystown Lake many times before jet skiing, but have never been to this park.  It was a beautiful day and we met a lot of really nice people at the event!  TFTC</p>","Ice Mine","https://www.geocaching.com/geocache/GC17864_ice-mine","United States",259,11,2009-01-01,NA,2009-01-01
"251",102,"2009-10","Confirmed"," ","2009-10"," ","Pennsylvania","Huntingdon","42061","United States",-27107481600000,-27107481600000,1.262304e+12,4070908800000,10,"Huntingdon-Pennsylvania",2009-01-01,2009,103,"GC17864","Ice Mine",40.33193,-78.12342,2009-07-15,"Type.found_it","kabjet","<p>An interesting EarthCache in a great State Park, thanks for all of the hiders for making this a wonderful trip.</p>","Ice Mine","https://www.geocaching.com/geocache/GC17864_ice-mine","United States",259,11,2009-01-01,NA,2009-01-01
"252",102,"2009-10","Confirmed"," ","2009-10"," ","Pennsylvania","Huntingdon","42061","United States",-27107481600000,-27107481600000,1.262304e+12,4070908800000,10,"Huntingdon-Pennsylvania",2009-01-01,2009,103,"GC17864","Ice Mine",40.33193,-78.12342,2009-06-30,"Type.found_it","Treknschmidt","<p>A quiet day in the park this morning due to rain. But a great cache none the less.<br />
<strong>email to follow</strong></p>","Ice Mine","https://www.geocaching.com/geocache/GC17864_ice-mine","United States",259,11,2009-01-01,NA,2009-01-01
"253",102,"2009-10","Confirmed"," ","2009-10"," ","Pennsylvania","Huntingdon","42061","United States",-27107481600000,-27107481600000,1.262304e+12,4070908800000,10,"Huntingdon-Pennsylvania",2009-01-01,2009,103,"GC17864","Ice Mine",40.33193,-78.12342,2009-06-22,"Type.found_it","bckc","<p>In PA visiting family. It has been a long time since I've been here. I grew up not too far from here (Calvin). I don't like the new fancy enclosure that they have put around it - too touristy. TFTC!!!</p>","Ice Mine","https://www.geocaching.com/geocache/GC17864_ice-mine","United States",259,11,2009-01-01,NA,2009-01-01
"254",102,"2009-10","Confirmed"," ","2009-10"," ","Pennsylvania","Huntingdon","42061","United States",-27107481600000,-27107481600000,1.262304e+12,4070908800000,10,"Huntingdon-Pennsylvania",2009-01-01,2009,103,"GC17864","Ice Mine",40.33193,-78.12342,2009-06-21,"Type.found_it","Find'em Frank","<p>Found with Steelers Chic and emilierene who sent the answers back in June.  Let me know if I need to resend since it's been so long.  Attached is my photo.</p>
<p>[This entry was edited by Find'em Frank on Sunday, May 02, 2010 at 8:19:56 PM.]</p>","Ice Mine","https://www.geocaching.com/geocache/GC17864_ice-mine","United States",259,11,2009-01-01,NA,2009-01-01
"255",102,"2009-10","Confirmed"," ","2009-10"," ","Pennsylvania","Huntingdon","42061","United States",-27107481600000,-27107481600000,1.262304e+12,4070908800000,10,"Huntingdon-Pennsylvania",2009-01-01,2009,103,"GC17864","Ice Mine",40.33193,-78.12342,2009-06-21,"Type.found_it","Steelers Chic","<p>This has always been a &quot;cool&quot; place!  </p>","Ice Mine","https://www.geocaching.com/geocache/GC17864_ice-mine","United States",259,11,2009-01-01,NA,2009-01-01
"256",102,"2009-10","Confirmed"," ","2009-10"," ","Pennsylvania","Huntingdon","42061","United States",-27107481600000,-27107481600000,1.262304e+12,4070908800000,10,"Huntingdon-Pennsylvania",2009-01-01,2009,103,"GC17864","Ice Mine",40.33193,-78.12342,2009-06-21,"Type.found_it","emilierene","<p>This was quite the popular spot today.  Everyone there were remarking about the dropping temperature as they descended into the ice mine.  It will always amaze people.  Thanks!</p>","Ice Mine","https://www.geocaching.com/geocache/GC17864_ice-mine","United States",259,11,2009-01-01,NA,2009-01-01
"257",102,"2009-10","Confirmed"," ","2009-10"," ","Pennsylvania","Huntingdon","42061","United States",-27107481600000,-27107481600000,1.262304e+12,4070908800000,10,"Huntingdon-Pennsylvania",2009-01-01,2009,103,"GC17864","Ice Mine",40.33193,-78.12342,2009-05-30,"Type.found_it","Durango633","<p>Very &quot;COOL&quot; cache to visit on this beautiful day. Another must do if you are in Trough Creek State Park.</p>
<p>Thank you for bringing us here.</p>
<p>*Answers are emailed</p>","Ice Mine","https://www.geocaching.com/geocache/GC17864_ice-mine","United States",259,11,2009-01-01,NA,2009-01-01
