"","X","GC","title","url","lat","lon","country","province.state","county","numfinds","numpage"
"1490",1490,"GC4KW8W","The Legend of LoneStar Mine","https://www.geocaching.com/geocache/GC4KW8W_the-legend-of-lonestar-mine","44:40:24","-70:41:51","United States","Maine","Oxford County (ME)","9","1"
"742",742,"GC13V6K","Hayes Cave","https://www.geocaching.com/geocache/GC13V6K_hayes-cave","45:23:53","-63:41:58","Canada","Nova Scotia","Hants","51","3"
"650",650,"GC153DH","French Louie's Cave","https://www.geocaching.com/geocache/GC153DH_french-louies-cave","43:44:37","-74:42:09","United States","New York","Hamilton County (NY)","1","1"
"1028",1028,"GC1HWAZ","Mine Jeffrey Asbestos","https://www.geocaching.com/geocache/GC1HWAZ_mine-jeffrey-asbestos","45:48:53","-72:04:07","Canada","Quebec","Les Sources","203","9"
"683",683,"GC2VGAQ","GhOsT Mine iron mine","https://www.geocaching.com/geocache/GC2VGAQ_ghost-mine-iron-mine","40:47:38","-78:05:31","United States","Pennsylvania","Centre County (PA)","78","4"
"837",837,"GC1P2RT","JMFB - The Cave","https://www.geocaching.com/geocache/GC1P2RT_jmfb-the-cave","38:14:01","-85:47:58","United States","Kentucky","Jefferson County (KY)","18","1"
"1035",1035,"GC1916Q","Mine Mountain","https://www.geocaching.com/geocache/GC1916Q_mine-mountain","41:55:33","-73:24:48","United States","Connecticut","Litchfield County (CT)","15","1"
"343",343,"GC4M7P4","Cave Dweller (Rockwood)","https://www.geocaching.com/geocache/GC4M7P4_cave-dweller-rockwood","43:48:03","-80:14:18","Canada","Ontario","Wellington","157","7"
"378",378,"GC47H81","Cave of the cresent moon","https://www.geocaching.com/geocache/GC47H81_cave-of-the-cresent-moon","41:05:49","-74:38:02","United States","New Jersey","Morris County (NJ)","37","2"
"768",768,"GC5ANXR","Hole in the Ground 4.0 (aka Barite Mine)","https://www.geocaching.com/geocache/GC5ANXR_hole-in-the-ground-40-aka-barite-mine","44:46:42","-66:47:33","Canada","New Brunswick","Charlotte","40","2"
"1435",1435,"GC25XXA","The Bat Cave","https://www.geocaching.com/geocache/GC25XXA_the-bat-cave","41:36:13","-71:34:07","United States","Rhode Island","Washington County (RI)","39","2"
"402",402," GC22Y58","Cave Spring On The Current River","https:/www.geocaching.com/geocache/GC22Y58_cave-spring-on-the-current-river","37:34:39","-91:41:37","United States","Missouri","Shannon County (MO)","143","6"
"245",245,"GC1CXZG","Buckhorn Cave","https://www.geocaching.com/geocache/GC1CXZG_buckhorn-cave","37:27:39","-83:17:53","United States","Kentucky","Knott County (KY)","14","1"
"89",89,"GC1GWB5","A forest of huge boulders:Indian Rock Shelter/cave","https://www.geocaching.com/geocache/GC1GWB5_a-forest-of-huge-bouldersindian-rock-sheltercave","40:28:29","-79:13:53","United States","Pennsylvania","Indiana County (PA)","55","3"
"179",179,"GCG7MW","Bats vs. Mosquitoes at Berryton Cave","https://www.geocaching.com/geocache/GCG7MW_bats-vs-mosquitoes-at-berryton-cave","46:00:26","-64:56:58","Canada","New Brunswick","Albert","13","1"
"1272",1272,"GC76M6M","Ravenscroft Mine and Walking Trail","https://www.geocaching.com/geocache/GC76M6M_ravenscroft-mine-and-walking-trail","35:59:02","-85:17:39","United States","Tennessee","White County (TN)","16","1"
"1482",1482,"GC3GXGB","The Herbert Corundum Mine","https://www.geocaching.com/geocache/GC3GXGB_the-herbert-corundum-mine","35:11:46","-83:53:16","United States","North Carolina","Clay County (NC)","28","2"
"271",271,"GC1N7KG","Caching in the Cave: The Blue Hole # 2","https://www.geocaching.com/geocache/GC1N7KG_caching-in-the-cave-the-blue-hole-2","36:57:07","-86:28:05","United States","Kentucky","Warren County (KY)","483","20"
"510",510,"GCGY2V","Cornplanters Cave Cache","https://www.geocaching.com/geocache/GCGY2V_cornplanters-cave-cache","41:59:17","-79:08:36","United States","Pennsylvania","Warren County (PA)","186","8"
"248",248,"GCX39W","Burrough's Cave","https://www.geocaching.com/geocache/GCX39W_burroughs-cave","43:50:33","-74:07:08","United States","New York","Essex County (NY)","33","2"
"1185",1185,"GC186Y1","Old Ray Mica Mine","https://www.geocaching.com/geocache/GC186Y1_old-ray-mica-mine","35:53:25","-82:24:34","United States","North Carolina","Yancey County (NC)","53","3"
"310",310,"GC3W6R7","CAVE - Flowstones","https://www.geocaching.com/geocache/GC3W6R7_cave-flowstones","42:51:32","-74:31:29","United States","New York","Schoharie County (NY)","31","2"
"1353",1353,"GC2R6AR","Skull Cave Arch","https://www.geocaching.com/geocache/GC2R6AR_skull-cave-arch","39:28:19","-83:27:33","United States","Ohio","Ross County (OH)","98","4"
"1660",1660,"GC1JJRV","When in Carlisle? The Copper Mine 1840 - 1850","https://www.geocaching.com/geocache/GC1JJRV_when-in-carlisle-the-copper-mine-1840-1850","42:34:03","-71:25:45","United States","Massachusetts","Middlesex County (MA)","89","4"
"1364",1364," GCXDZF","Smittle Cave","https:/www.geocaching.com/geocache/GCXDZF_smittle-cave","37:34:02","-92:46:58","United States","Missouri","Wright County (MO)","28","1"
"94",94,"GC64ER8","A Mine Is A Terrible Thing To Waste","https://www.geocaching.com/geocache/GC64ER8_a-mine-is-a-terrible-thing-to-waste","41:06:55","-74:39:51","United States","New Jersey","Sussex County (NJ)","130","6"
"386",386,"GC1PN2Y","Cave or Rock House in Steele Creek Park","https://www.geocaching.com/geocache/GC1PN2Y_cave-or-rock-house-in-steele-creek-park","36:46:18","-82:21:48","United States","Tennessee","Sullivan County (TN)","134","6"
"302",302,"GC3PFZ9","CARP LAKE MINE","https://www.geocaching.com/geocache/GC3PFZ9_carp-lake-mine","47:04:38","-89:53:44","United States","Michigan","Ontonagon County (MI)","195","8"
"1497",1497,"GCJH6N","The Lost Shults Mine","https://www.geocaching.com/geocache/GCJH6N_the-lost-shults-mine","35:53:38","-83:29:47","United States","Tennessee","Sevier County (TN)","657","27"
"1486",1486,"GC52BAV","The Ice Mine","https://www.geocaching.com/geocache/GC52BAV_the-ice-mine","41:49:37","-77:57:32","United States","Pennsylvania","Potter County (PA)","78","4"
"1378",1378,"GC7WG5F","SP Carter Caves - Cascade Cave","https://www.geocaching.com/geocache/GC7WG5F_sp-carter-caves-cascade-cave","38:26:55","-83:17:35","United States","Kentucky","Carter County (KY)","1","1"
"679",679,"GC61BHC","Geologic History of Higgenbotham Cave","https://www.geocaching.com/geocache/GC61BHC_geologic-history-of-higgenbotham-cave","35:53:01","-85:49:05","United States","Tennessee","Warren County (TN)","3","1"
"511",511,"GC5BFDG","Cornplanters Cave Cache 2","https://www.geocaching.com/geocache/GC5BFDG_cornplanters-cave-cache-2","41:59:17","-79:08:36","United States","Pennsylvania","Warren County (PA)","84","4"
"1094",1094,"GC3QYDA","Monitor Mine","https://www.geocaching.com/geocache/GC3QYDA_monitor-mine","43:49:04","-83:56:32","United States","Michigan","Bay County (MI)","201","9"
"235",235,"GC6PJ9E","Bornish Road Cave","https://www.geocaching.com/geocache/GC6PJ9E_bornish-road-cave","45:59:55","-61:19:34","Canada","Nova Scotia","Inverness","12","1"
"1004",1004,"GC1XPD3","MINE BOGGLED","https://www.geocaching.com/geocache/GC1XPD3_mine-boggled","41:00:34","-75:07:18","United States","New Jersey","Warren County (NJ)","35","2"
"688",688,"GCH6C7","Glebe Mine and Pit circa 1867","https://www.geocaching.com/geocache/GCH6C7_glebe-mine-and-pit-circa-1867","45:39:59","-65:36:44","Canada","New Brunswick","Kings (New Brunswick)","32","2"
"774",774,"GC18ZAN","Howe Cave Earthcache","https://www.geocaching.com/geocache/GC18ZAN_howe-cave-earthcache","42:53:22","-74:38:23","United States","New York","Schoharie County (NY)","399","16"
"721",721,"GC4PTYF","Griggstown Copper Mine","https://www.geocaching.com/geocache/GC4PTYF_griggstown-copper-mine","40:38:13","-74:47:33","United States","New Jersey","Somerset County (NJ)","126","6"
"1369",1369,"GCPBY6","Snoopy's Mine Blowing Experience","https://www.geocaching.com/geocache/GCPBY6_snoopys-mine-blowing-experience","35:43:53","-85:07:22","United States","Tennessee","Rhea County (TN)","45","2"
"969",969,"GC4H3ZR","""May You Find """"May Cave""""""","https://www.geocaching.com/geocache/GC4H3ZR_may-you-find-may-cave","36:19:31","-86:55:18","United States","Tennessee","Davidson County (TN)","36","2"
"1282",1282,"GCNW8H","Republic Mine View","https://www.geocaching.com/geocache/GCNW8H_republic-mine-view","46:24:02","-88:13:25","United States","Michigan","Marquette County (MI)","137","6"
"222",222,"GC6HETW","BLH: The Old Mine Railbed","https://www.geocaching.com/geocache/GC6HETW_blh-the-old-mine-railbed","41:39:19","-74:01:03","United States","New York","Putnam County (NY)","27","2"
"656",656,"GC16TF5","GAG11 - Mine","https://www.geocaching.com/geocache/GC16TF5_gag11-mine","45:35:58","-75:51:59","Canada","Quebec","Les Collines-de-l'Outaouais","139","6"
"1127",1127,"GC1BWRN","Never You Mine","https://www.geocaching.com/geocache/GC1BWRN_never-you-mine","41:03:57","-74:19:44","United States","New Jersey","Passaic County (NJ)","100","4"
"591",591,"GC57YHW","Do You Like Spelunking? - Olmsted Cave","https://www.geocaching.com/geocache/GC57YHW_do-you-like-spelunking-olmsted-cave","43:12:13","-79:59:07","Canada","Ontario","Hamilton","81","4"
"88",88,"GC7A36D","A Copper Mine Experience","https://www.geocaching.com/geocache/GC7A36D_a-copper-mine-experience","46:53:35","-89:19:15","United States","Michigan","Ontonagon County (MI)","15","1"
"312",312,"GC63YQ5","CAVE - Hidden River","https://www.geocaching.com/geocache/GC63YQ5_cave-hidden-river","37:22:29","-85:59:33","United States","Kentucky","Hart County (KY)","43","2"
"1114",1114,"GC1YRMV","Mystery Mine in Dorchester","https://www.geocaching.com/geocache/GC1YRMV_mystery-mine-in-dorchester","46:08:52","-64:32:54","Canada","New Brunswick","Westmorland","71","3"
"978",978," GCMC16","Meramec Cave Tour","https:/www.geocaching.com/geocache/GCMC16_meramec-cave-tour","38:24:51","-91:05:59","United States","Missouri","Franklin County (MO)","41","2"
"227",227,"GCYMAX","Blue Rock Mine","https://www.geocaching.com/geocache/GCYMAX_blue-rock-mine","44:56:32","-78:26:43","Canada","Ontario","Haliburton","15","1"
"911",911," GC41RKE","Lick Branch Cave","https:/www.geocaching.com/geocache/GC41RKE_lick-branch-cave","37:20:46","-90:42:05","United States","Missouri","Wayne County (MO)","37","1"
"533",533," GC4299D","CRYSTAL CAVE","https:/www.geocaching.com/geocache/GC4299D_crystal-cave","37:09:43","-94:38:37","United States","Missouri","Jasper County (MO)","228","9"
"1412",1412,"GC6NRY6","Sussex Mine Railroad PR#5","https://www.geocaching.com/geocache/GC6NRY6_sussex-mine-railroad-pr5","41:10:55","-74:48:22","United States","New Jersey","Sussex County (NJ)","207","9"
"1321",1321," GC1CHEQ","Sands of Mine","https:/www.geocaching.com/geocache/GC1CHEQ_sands-of-mine","37:13:23","-94:44:19","United States","Missouri","Jasper County (MO)","58","2"
"1048",1048,"GC76XZJ","Mine St E","https://www.geocaching.com/geocache/GC76XZJ_mine-st-e","47:16:52","-88:33:21","United States","Michigan","Houghton County (MI)","27","2"
"1508",1508,"GC18V9A","The Old Ray Mica Mine","https://www.geocaching.com/geocache/GC18V9A_the-old-ray-mica-mine","35:56:55","-82:24:28","United States","North Carolina","Yancey County (NC)","55","3"
"12",12,"GC15MAP","""""""To the Bat Cave !""""""","https://www.geocaching.com/geocache/GC15MAP_to-the-bat-cave","40:12:13","-75:25:26","United States","Pennsylvania","Philadelphia County (PA)","225","9"
"735",735,"GC8D04","Harbell's Cave in Rockwood Park","https://www.geocaching.com/geocache/GC8D04_harbells-cave-in-rockwood-park","45:18:21","-66:03:51","Canada","New Brunswick","Saint John","33","2"
